"","expl_slope_sd","expl_aspect_sd","expl_cov_min_sd","expl_cov_max_sd"
"venator1",0.125567854183251,2.0405943096128,0.379469718098968,0.334216392817093
"venator2",0.14259531712508,1.9741551000574,0.469931839014207,0.321841311674414
"acclamator1",0.124644048632033,1.92755285155058,0.393639717127805,0.405910138178984
"acclamator2",0.0605236219116264,1.75260948872635,0.273257759123654,0.329357661122109
"acclamator3",0.133576301069262,1.92211048360811,0.531938226777747,0.481796357207911
"acclamator4",0.00176534182330305,0.582561832312491,0.154934343936957,0.420531023294225
"acclamator5",0.132576970703194,1.6962355195229,0.391796523705549,0.399625804911839
